dataset,type,split,train_size,test_size,trial_seed,classifier,train_accuracy,val_accuracy,test_accuracy,best_params
breast_cancer,numeric,20_80,0.2,0.8,0,log_reg,0.9646017699115044,0.9559032716927454,0.9276315789473685,{'clf__C': 0.1}
breast_cancer,numeric,20_80,0.2,0.8,0,svm_rbf,0.9557522123893806,0.9559032716927454,0.9364035087719298,"{'clf__C': 10, 'clf__gamma': 0.001}"
breast_cancer,numeric,20_80,0.2,0.8,0,random_forest,1.0,0.9208155523944997,0.9298245614035088,"{'clf__max_depth': None, 'clf__n_estimators': 100}"
breast_cancer,numeric,20_80,0.2,0.8,1,log_reg,0.9823008849557522,0.9736842105263158,0.9539473684210527,{'clf__C': 0.01}
breast_cancer,numeric,20_80,0.2,0.8,1,svm_rbf,1.0,0.9649122807017544,0.9692982456140351,"{'clf__C': 10, 'clf__gamma': 0.01}"
breast_cancer,numeric,20_80,0.2,0.8,1,random_forest,1.0,0.9383594120436225,0.9166666666666666,"{'clf__max_depth': None, 'clf__n_estimators': 100}"
breast_cancer,numeric,20_80,0.2,0.8,2,log_reg,0.9823008849557522,0.9646752015173069,0.9758771929824561,{'clf__C': 0.1}
breast_cancer,numeric,20_80,0.2,0.8,2,svm_rbf,0.9823008849557522,0.9471313418681838,0.9605263157894737,"{'clf__C': 100, 'clf__gamma': 0.001}"
breast_cancer,numeric,20_80,0.2,0.8,2,random_forest,1.0,0.920104314841157,0.956140350877193,"{'clf__max_depth': None, 'clf__n_estimators': 100}"
breast_cancer,numeric,50_50,0.5,0.5,0,log_reg,0.9823943661971831,0.9683463979096678,0.9614035087719298,{'clf__C': 0.1}
breast_cancer,numeric,50_50,0.5,0.5,0,svm_rbf,0.9894366197183099,0.9753266144083613,0.9649122807017544,"{'clf__C': 10, 'clf__gamma': 0.01}"
breast_cancer,numeric,50_50,0.5,0.5,0,random_forest,1.0,0.9437476670399403,0.9543859649122807,"{'clf__max_depth': None, 'clf__n_estimators': 100}"
